ID do Ponto;ID do Merchant;Merchant Category Code (MCC);NUIB do Merchant;Tipo de POS;Código do Distrito;Latitude;Longitude;Estado do POS;Data de última actualização do Estado
BCO08POS0000001;BCO08MER0000001;4111;06140966725;01;0503;-15.4068;36.7587;01;23-04-2025
BCO08POS0000002;BCO08MER0000002;5912;72432929708;01;0706;-19.9033;37.0081;01;12-05-2025
BCO08POS0000003;BCO08MER0000003;5732;92359506299;01;0702;-20.2400;31.9904;01;28-04-2025
BCO08POS0000004;BCO08MER0000004;5992;33618396057;01;0308;-21.0807;31.6564;01;27-08-2025
BCO08POS0000005;BCO08MER0000005;5812;15661910505;01;0317;-19.7455;38.9554;01;21-03-2025
BCO08POS0000006;BCO08MER0000006;5732;37992841175;01;0206;-25.0759;31.3724;01;18-05-2025
BCO08POS0000007;BCO08MER0000007;4111;71063637946;02;0213;-23.5891;35.0889;01;03-06-2025
BCO08POS0000008;BCO08MER0000008;5411;28861748541;01;0603;-21.3530;36.4548;01;26-03-2025
BCO08POS0000009;BCO08MER0000009;4814;84977570438;01;0317;-21.4063;38.4244;01;30-05-2025
BCO08POS0000010;BCO08MER0000010;5541;59990620910;02;0209;-16.8425;38.0955;01;31-01-2025
BCO08POS0000011;BCO08MER0000011;5812;90616076529;01;0412;-17.2119;35.4218;03;12-05-2025
BCO08POS0000012;BCO08MER0000012;5411;39991967120;01;0901;-13.4331;38.1178;03;23-09-2025
BCO08POS0000013;BCO08MER0000013;7011;42090543499;01;0708;-10.3677;34.5929;01;24-10-2025
BCO08POS0000014;BCO08MER0000014;5691;51791261865;01;1008;-14.9671;38.3196;01;05-02-2025
BCO08POS0000015;BCO08MER0000015;5912;02105256998;01;0312;-20.7074;33.0407;01;07-10-2025
BCO08POS0000016;BCO08MER0000016;5912;50277233711;01;0513;-20.2214;30.7866;01;07-11-2025
BCO08POS0000017;BCO08MER0000017;4111;50886160590;02;0317;-13.5048;38.4359;01;30-09-2025
BCO08POS0000018;BCO08MER0000018;9399;29790606390;01;0408;-10.5861;30.4125;01;11-08-2025
BCO08POS0000019;BCO08MER0000019;5411;09245861888;01;0313;-19.9769;37.7427;01;13-10-2025
BCO08POS0000020;BCO08MER0000020;4111;04700344097;01;0803;-13.1407;39.9004;01;12-06-2025
BCO08POS0000021;BCO08MER0000021;5992;65999199590;01;0316;-17.2357;30.0936;01;11-04-2025
BCO08POS0000022;BCO08MER0000022;5691;62096392797;02;1006;-18.0154;30.4591;01;08-09-2025
BCO08POS0000023;BCO08MER0000023;5812;92847158782;02;0812;-16.0860;35.2412;01;02-11-2025
BCO08POS0000024;BCO08MER0000024;5411;46401539864;02;0610;-15.4895;39.0721;01;24-05-2025
BCO08POS0000025;BCO08MER0000025;5541;98895504925;01;0512;-23.1273;34.2255;02;12-09-2025
BCO08POS0000026;BCO08MER0000026;4111;08156753627;01;0111;-19.6880;39.4383;01;02-08-2025
BCO08POS0000027;BCO08MER0000027;5541;84977570438;01;0317;-11.1513;37.0495;01;02-12-2025
BCO08POS0000028;BCO08MER0000028;5912;54379863840;02;1002;-25.8514;36.4590;01;30-11-2025
BCO08POS0000029;BCO08MER0000029;5541;29236838890;01;0515;-21.5449;30.7716;01;26-10-2025
BCO08POS0000030;BCO08MER0000030;4111;13720408743;01;0708;-10.0723;32.4595;01;09-08-2025
BCO08POS0000031;BCO08MER0000031;5411;60277949240;01;0210;-13.9331;30.1331;01;02-04-2025
BCO08POS0000032;BCO08MER0000032;5411;21962916881;01;0507;-12.3059;34.1205;01;13-12-2025
BCO08POS0000033;BCO08MER0000033;5411;85432365959;01;0510;-22.8216;36.6490;01;03-06-2025
BCO08POS0000034;BCO08MER0000034;4111;43077767509;02;0308;-15.2738;32.4625;01;15-03-2025
BCO08POS0000035;BCO08MER0000035;5411;28689960144;02;0703;-12.5626;39.8917;01;18-12-2025
BCO08POS0000036;BCO08MER0000036;4111;22931525160;01;0105;-20.7137;36.6248;01;22-03-2025
BCO08POS0000037;BCO08MER0000037;5992;57973326363;01;0215;-17.2130;31.0666;01;16-07-2025
BCO08POS0000038;BCO08MER0000038;5912;34826253905;01;0605;-17.3130;33.4244;01;17-04-2025
BCO08POS0000039;BCO08MER0000039;7011;23095731756;01;0903;-24.2509;38.6376;01;14-11-2025
BCO08POS0000040;BCO08MER0000040;5411;86502818819;01;1003;-11.2386;31.8461;01;12-07-2025
BCO08POS0000041;BCO08MER0000041;5541;28560011343;01;0301;-24.3405;35.7478;01;21-05-2025
BCO08POS0000042;BCO08MER0000042;4814;64411630284;01;0508;-22.4973;31.8521;01;04-11-2025
BCO08POS0000043;BCO08MER0000043;5411;60691521360;01;0316;-22.4927;35.9094;01;27-03-2025
BCO08POS0000044;BCO08MER0000044;5992;54991050317;01;0901;-16.3926;32.5997;01;28-11-2025
BCO08POS0000045;BCO08MER0000045;4814;33837548232;02;0308;-17.5411;35.9986;01;19-08-2025
BCO08POS0000046;BCO08MER0000046;5541;40736561597;01;0422;-24.3474;36.7328;01;09-11-2025
