NAME                                    READY   UP-TO-DATE   AVAILABLE   AGE   CONTAINERS                                     IMAGES                                                                                                        SELECTOR
iom-app                                 1/1     1            1           35h   iom-app                                        iomete.azurecr.io/iomete/iom-app:4.0.0-beta3                                                                  app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-app
iom-catalog                             1/1     1            1           35h   iom-catalog                                    iomete.azurecr.io/iomete/iom-catalog:4.0.0-beta3                                                              app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-catalog
iom-cluster                             1/1     1            1           35h   iom-cluster                                    iomete.azurecr.io/iomete/iom-cluster:4.0.0-beta3                                                              app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-cluster
iom-core                                1/1     1            1           35h   iom-core                                       iomete.azurecr.io/iomete/iom-core:4.0.0-beta3                                                                 app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-core
iom-event-stream-proxy                  1/1     1            1           35h   iom-event-stream-proxy                         iomete.azurecr.io/iomete/iom-event-stream-proxy:1.0.0                                                         app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-event-stream-proxy
iom-gateway                             1/1     1            1           35h   iom-gateway-container                          iomete.azurecr.io/iomete/iom-gateway:2.0.1                                                                    app=iom-gateway,app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise
iom-health-check                        1/1     1            1           35h   iom-health-check                               iomete.azurecr.io/iomete/iom-health-checker:4.0.0-beta3                                                       app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-health-check
iom-identity                            1/1     1            1           35h   iom-identity                                   iomete.azurecr.io/iomete/iom-identity:4.0.0-beta3                                                             app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-identity
iom-job-orchestrator-metrics-exporter   1/1     1            1           35h   iom-job-orchestrator-metrics-exporter          iomete.azurecr.io/iomete/prometheus-metrics-exporter:1.5.0                                                    app=iom-job-orchestrator-metrics-exporter,app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise
iom-maintenance                         1/1     1            1           35h   iom-maintenance                                iomete.azurecr.io/iomete/iom-maintenance:4.0.0-beta3                                                          app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-maintenance
iom-rest-catalog                        1/1     1            1           35h   iom-rest-catalog                               iomete.azurecr.io/iomete/iom-rest-catalog:4.0.0-beta3                                                         app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-rest-catalog
iom-socket                              1/1     1            1           35h   iom-socket                                     iomete.azurecr.io/iomete/iom-socket:2.6.0                                                                     app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-socket
iom-sql                                 1/1     1            1           35h   iom-sql                                        iomete.azurecr.io/iomete/iom-sql:4.0.0-beta3                                                                  app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-sql
metastore                               1/1     1            1           35h   hiveserver2                                    iomete.azurecr.io/iomete/metastore:7.1.2                                                                      app=metastore,app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise
minio                                   1/1     1            1           35h   minio                                          minio/minio                                                                                                   app=minio
prefect-server                          1/1     1            1           35h   prefect-server                                 iomete.azurecr.io/iomete/prefect-server:1.5.0-beta                                                            app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=prefect-server
prefect-worker-iomete-system            1/1     1            1           35h   prefect-worker-iomete-system,post-install      iomete.azurecr.io/iomete/prefect-worker:1.5.0-beta,iomete.azurecr.io/iomete/prefect-post-install:1.5.0-beta   app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=prefect-worker
prefect-worker-query-scheduling         1/1     1            1           35h   prefect-worker-query-scheduling,post-install   iomete.azurecr.io/iomete/prefect-worker:1.5.0-beta,iomete.azurecr.io/iomete/prefect-post-install:1.5.0-beta   app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=prefect-worker-query-scheduling
spark-history                           1/1     1            1           35h   spark-history                                  iomete.azurecr.io/iomete/spark:3.5.7-v3beta                                                                   app=spark-history,app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise
spark-operator                          1/1     1            1           35h   spark-operator                                 iomete.azurecr.io/iomete/spark-operator:4.0.5                                                                 app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=spark-operator
spark-operator-controller               1/1     1            1           35h   spark-operator                                 iomete.azurecr.io/iomete/spark-operator:4.0.5                                                                 app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=spark-operator-controller
spark-operator-submit-service           1/1     1            1           35h   spark-submit-service                           iomete.azurecr.io/iomete/spark-submit-service:1.0.3                                                           app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=spark-operator-submit-service
typesense                               1/1     1            1           35h   typesense                                      iomete.azurecr.io/iomete/typesense:29.0                                                                       app=typesense,app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise
