NAME                                            TYPE        CLUSTER-IP      EXTERNAL-IP   PORT(S)                      AGE   SELECTOR
iom-app                                         ClusterIP   10.43.167.187   <none>        80/TCP                       35h   app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-app
iom-catalog                                     ClusterIP   10.43.185.171   <none>        80/TCP                       35h   app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-catalog
iom-cluster                                     ClusterIP   10.43.28.87     <none>        80/TCP                       35h   app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-cluster
iom-core                                        ClusterIP   10.43.24.68     <none>        80/TCP                       35h   app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-core
iom-event-stream                                ClusterIP   10.43.145.74    <none>        4444/TCP,9090/TCP            35h   app=iom-event-stream
iom-event-stream-proxy                          ClusterIP   10.43.197.29    <none>        8080/TCP                     35h   app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-event-stream-proxy
iom-gateway                                     ClusterIP   10.43.120.168   <none>        80/TCP                       35h   app=iom-gateway
iom-health-check                                ClusterIP   10.43.89.18     <none>        80/TCP                       35h   app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-health-check
iom-identity                                    ClusterIP   10.43.127.105   <none>        80/TCP                       35h   app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-identity
iom-maintenance                                 ClusterIP   10.43.15.158    <none>        80/TCP                       35h   app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-maintenance
iom-rest-catalog                                ClusterIP   10.43.40.93     <none>        80/TCP                       35h   app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-rest-catalog
iom-socket                                      ClusterIP   10.43.209.34    <none>        80/TCP                       35h   app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-socket
iom-spark-connect                               ClusterIP   10.43.132.59    <none>        15002/TCP,33333/TCP          35h   spark-role=driver,sparkoperator.k8s.io/app-name=iom-spark-connect
iom-spark-connect-792e679f1cb7d33e-driver-svc   ClusterIP   None            <none>        7078/TCP,7079/TCP,4040/TCP   24h   app.kubernetes.io/managed-by=Helm,spark-app-name=iom-spark-connect,spark-app-selector=spark-ea7434e3d3fc43cb851f772469bdfe44,spark-role=driver,spark-version=3.5.5-IOMETE,sparkoperator.k8s.io/app-name=iom-spark-connect,sparkoperator.k8s.io/launched-by-spark-operator=true,sparkoperator.k8s.io/mutated-by-spark-operator=true,sparkoperator.k8s.io/submission-id=f41e7fc4-0b16-480e-a83b-bc39229db73e
iom-sql                                         ClusterIP   10.43.233.59    <none>        80/TCP                       35h   app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=iom-sql
metastore-service                               ClusterIP   10.43.74.224    <none>        9083/TCP                     35h   app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,app=metastore
minio                                           ClusterIP   10.43.234.106   <none>        9000/TCP,9001/TCP            35h   app=minio
postgresql                                      ClusterIP   10.43.221.251   <none>        5432/TCP                     35h   app.kubernetes.io/component=primary,app.kubernetes.io/instance=postgresql,app.kubernetes.io/name=postgresql
postgresql-hl                                   ClusterIP   None            <none>        5432/TCP                     35h   app.kubernetes.io/component=primary,app.kubernetes.io/instance=postgresql,app.kubernetes.io/name=postgresql
prefect-server                                  ClusterIP   10.43.82.237    <none>        4200/TCP                     35h   app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=prefect-server
spark-history                                   ClusterIP   10.43.183.144   <none>        80/TCP                       35h   app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,app=spark-history
spark-operator-controller                       ClusterIP   10.43.132.29    <none>        8081/TCP,10254/TCP           35h   service=spark-operator-controller
spark-operator-submit-service                   ClusterIP   10.43.190.166   <none>        80/TCP                       35h   app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,service=spark-operator-submit-service
spark-operator-webhook                          ClusterIP   10.43.163.196   <none>        443/TCP,8081/TCP,10254/TCP   35h   service=spark-operator
svc-iom-spark-connect-ui                        ClusterIP   10.43.65.93     <none>        4040/TCP                     24h   spark-role=driver,sparkoperator.k8s.io/app-name=iom-spark-connect
typesense                                       ClusterIP   10.43.156.38    <none>        80/TCP                       35h   app.kubernetes.io/instance=data-plane,app.kubernetes.io/name=iomete-data-plane-enterprise,app=typesense
